Code,Name,Symbol,QUDT
rad/s²,radian per square second,NULL,RAD-PER-SEC2
RON,romanian new leu,NULL,RomanianNeLeu
rpm,revolution per minute,NULL,REV-PER-MIN
Rpm,Rates per minute,NULL,NULL
RSD,serbian dinar,din,SerbianDinar
RUB,russian ruble,NULL,RussianRuble
RWF,rwanda franc,NULL,RwandaFranc
s,second,s,SEC
S,siemens,NULL,S
S/m,siemens per metre,NULL,S-PER-M
SAR,saudi riyal,NULL,SaudiRyal
SBD,solomon islands dollar,NULL,SolomonIslandsDollar
SCR,seychelles rupee,NULL,SeychellesRupee
SDG,sudanese pound,NULL,SudanesePound
SEK,swedish krona,NULL,SwedishKrona
SGD,singapore dollar,NULL,SingaporeDollar
SHP,saint helena pound,NULL,SaintHelenaPound
SLL,leone,Le,Leone
SOS,somali shilling,NULL,SomaliShilling
sr,steradian,NULL,SR
SRD,surinam dollar,NULL,SurinamDollar
STD,dobra,Db,Dobra
SYP,syrian pound,NULL,SyrianPound
SZL,lilangeni,NULL,Lilangeni
t,short ton,NULL,TON_SHORT
T,tesla,NULL,T
TB,terabyte,NULL,TeraBYTE
THB,baht,฿,THB
therm,therm,NULL,NULL
therm/h,therms per hour,NULL,NULL
thousand cubic feet natural gas,thousand cubic feet natural gas,NULL,NULL
TJS,somoni,ЅМ,Somoni
TMT,manat,NULL,Manat
TND,tunisian dinar,NULL,TunisianDollar
tonne,metric tonne,NULL,TONNE
tonne/h,metric tonne per hour,NULL,TONNE-PER-HR
tonref,ton of refrigeration,NULL,TON_FG
tonrefh,tons refrigeration hour,NULL,NULL
TPI,turns per inch,NULL,NULL
TRY,turkish lira,₤,NewTurkishLira
TTD,trinidad and tobago dollar,NULL,TrinidadAndTobagoDollar
TWD,taiwan dollar,NULL,NewTaiwanDollar
TZS,tanzanian shilling,NULL,TanzanianShilling
UAH,hryvnia,₴,Hryvnia
u,atomic mass unit,μ,AMU
UGX,uganda shilling,NULL,UgandaShilling
unitless,unitless,-,NULL
USD,us dollar,$,USDollar
UYU,peso uruguayo,NULL,UruguayPeso
UZS,uzbekistan som,NULL,UzbekistanSom
V,V,NULL,V
V/K,volt per degree kelvin,NULL,V-PER-K
V/m,volt per metre,NULL,V-PER-M
VA,volt ampere,NULL,V-A
VAh,volt ampere hour,NULL,V-A-HR
VAR,volt ampere reactive,NULL,V-A_Reactive
VARh,volt ampere reactive hour,NULL,V-A_Reactive-HR
VEF,bolivar fuerte,NULL,NULL
VND,dong,₫,VietnameseDong
Volt,volt,V,V
VUV,vatu,Vt,Vatu
W,watt,NULL,W
W/cfm,watt per cubic feet per minute,NULL,NULL
W/ft²,watt per square foot,NULL,NULL
W/ft² irr,watt per square foot irradiance,NULL,NULL
W/K,W/K,NULL,W-PER-K
W/m,W/m,NULL,W-PER-M
W/m²,watt per square metre,NULL,W-PER-M2
W/m² irr,watt per square metre irradiance,NULL,NULL
W/m²K,watt per square metre kelvin,NULL,W-PER-M2-K
W/m²K²,watt per square metre square kelvin,NULL,NULL
W/m³/s,watt per cubic metre per second,NULL,NULL
W/mK,watt per metre kelvin,NULL,W-PER-M-K
Wb,weber,NULL,WB
Wh,watt hour,NULL,W-HR
Wh/ft²,watt hours per square foot,NULL,NULL
Wh/m²,watt hours per square metre,NULL,NULL
wk,week,NULL,NULL
Wp,Wp,NULL,NULL
WST,tala,NULL,NULL
XAF,cfa franc bceao,NULL,XAF
XCD,east caribbean dollar,NULL,EastCaribbeanDollar
XPF,cfp franc,NULL,XPF
