Reference,Date,Title
EN ISO 19650-2:2018,2018-12-19,"Organization and digitization of information about buildings and civil engineering works, including building information modelling (BIM) - Information management using building information modelling - Part 2: Delivery phase of the assets (ISO 19650-2:2018)"
EN ISO 19650-3:2020,2020-08-19,"Organization and digitization of information about buildings and civil engineering works, including building information modelling (BIM) - Information management using building information modelling - Part 3: Operational phase of the assets (ISO 19650-3:2020)"
EN ISO 19650-5:2020,2020-07-01,"Organization and digitization of information about buildings and civil engineering works, including building information modelling (BIM) - Information management using building information modelling - Part 5: Security-minded approach to information management (ISO 19650-5:2020)"
EN ISO 21597-1:2020,2020-04-22,Information container for linked document delivery - Exchange specification - Part 1: Container (ISO 21597-1:2020)
EN ISO 23386:2020,2020-03-25,"Building information modelling and other digital processes used in construction - Methodology to describe, author and maintain properties in interconnected data dictionaries (ISO 23386:2020)"
EN ISO 23387:2020,2020-07-22,Building information modelling (BIM) - Data templates for construction objects used in the life cycle of built assets - Concepts and principles (ISO 23387:2020)
EN ISO 2860:2008,2008-09-17,Earth-moving machinery - Minimum access dimensions (ISO 2860:1992)
EN ISO 2867:2011,2011-07-15,Earth-moving machinery - Access systems (ISO 2867:2011)
EN ISO 29481-1:2017,2017-10-11,Building information models - Information delivery manual - Part 1: Methodology and format (ISO 29481-1:2016)
EN ISO 29481-2:2016,2016-10-19,Building information models - Information delivery manual - Part 2: Interaction framework (ISO 29481-2:2012)
EN ISO 3164:2013,2013-05-08,Earth-moving machinery - Laboratory evaluations of protective structures - Specifications for deflection-limiting volume (ISO 3164:2013)
EN ISO 3382-1:2009,2009-06-15,Acoustics - Measurement of room acoustic parameters - Part 1: Performance spaces (ISO 3382-1:2009)
EN ISO 3382-2:2008,2008-06-15,Acoustics - Measurement of room acoustic parameters - Part 2: Reverberation time in ordinary rooms (ISO 3382-2:2008)
EN ISO 3382-2:2008/AC:2009,2009-05-27,Acoustics - Measurement of room acoustic parameters - Part 2: Reverberation time in ordinary rooms (ISO 3382-2:2008/Cor 1:2009)
EN ISO 3382-3:2012,2012-02-01,Acoustics - Measurement of room acoustic parameters - Part 3: Open plan offices (ISO 3382-3:2012)
EN ISO 3411:2007,2007-07-15,Earth-moving machinery - Physical dimensions of operators and minimum operator space envelope (ISO 3411:2007)
EN ISO 3449:2008,2008-09-17,Earth-moving machinery - Falling-object protective structures - Laboratory tests and performance requirements (ISO 3449:2005)
EN ISO 3450:2011,2011-11-01,Earth-moving machinery - Wheeled or high-speed rubber-tracked machines - Performance requirements and test procedures for brake systems (ISO 3450:2011)
EN ISO 3457:2008,2008-09-17,Earth-moving machinery - Guards - Definitions and requirements (ISO 3457:2003)
EN ISO 3471:2008,2008-08-15,Earth-moving machinery - Roll-over protective structures - Laboratory tests and performance requirements (ISO 3471:2008)
EN ISO 354:2003,2003-05-15,Acoustics - Measurement of sound absorption in a reverberation room (ISO 354:2003)
EN ISO 3822-1:1999,1999-05-15,Acoustics - Laboratory tests on noise emission from appliances and equipment used in water supply installations - Part 1: Method of measurement (ISO 3822-1:1999)
EN ISO 3822-1:1999/A1:2008,2008-12-15,Acoustics - Laboratory tests on noise emission from appliances and equipment used in water supply installations - Part 1: Method of measurement - Amendment 1: Measurement uncertainty (ISO 3822-1:1999/Amd 1:2008)
EN ISO 3822-2:1995,1995-03-28,Acoustics - Laboratory tests on noise emission from appliances and equipment used in water supply installations - Part 2: Mounting and operating conditions for draw-off taps and mixing valves (ISO 3822-2:1995)
EN ISO 3822-3:2018,2018-02-07,Acoustics - Laboratory tests on noise emission from appliances and equipment used in water supply installations - Part 3: Mounting and operating conditions for in-line valves and appliances (ISO 3822-3:2018)
EN ISO 3822-4:1997,1997-01-15,Acoustics - Laboratory tests on noise emission from appliances and equipment used in water supply installations - Part 4: Mounting and operating conditions for special appliances
EN ISO 5010:2019,2019-12-18,Earth-moving machinery - Wheeled machines - Steering requirements (ISO 5010:2019)
EN ISO 5353:1998,1998-09-23,"Earth-moving machinery, and tractors and machinery for agriculture and forestry - Seat index point (ISO 5353:1995)"
EN ISO 6165:2012,2012-09-01,Earth-moving machinery - Basic types - Identification and terms and definitions (ISO 6165:2012)
EN ISO 6682:2008,2008-09-17,"Earth-moving machinery - Zones of comfort and reach for controls (ISO 6682:1986, including Amd 1:1989)"
EN ISO 6683:2008,2008-08-13,Earth-moving machinery - Seat belts and seat belt anchorages - Performance requirements and tests (ISO 6683:2005)
EN ISO 6946:2017,2017-07-01,Building components and building elements - Thermal resistance and thermal transmittance - Calculation methods
EN ISO 7096:2020,2020-03-11,Earth-moving machinery - Laboratory evaluation of operator seat vibration (ISO 7096:2020)
EN ISO 717-1:2013,2013-03-06,Acoustics - Rating of sound insulation in buildings and of building elements - Part 1: Airborne sound insulation (ISO 717-1:2013)
EN ISO 717-1:2021,2021-05-01,Acoustics - Rating of sound insulation in buildings and of building elements - Part 1: Airborne sound insulation (ISO 717-1:2021)
EN ISO 717-2:2013,2013-03-06,Acoustics - Rating of sound insulation in buildings and of building elements - Part 2: Impact sound insulation (ISO 717-2:2013)
EN ISO 717-2:2021,2021-05-01,Acoustics - Rating of sound insulation in buildings and of building elements - Part 2: Impact sound insulation (ISO 717-2:2021)
EN ISO 8394-1:2010,2010-10-01,Building construction - Jointing products - Part 1: Determination of extrudability of sealants (ISO 8394-1:2010)
EN ISO 8394-2:2017,2017-11-22,Buildings and civil engineering works - Determination of extrudability for sealant - Part 2: Using standardized apparatus (ISO 8394-2:2017)
EN ISO 9001,1900-01-01,quality management systems - requirements
EN ISO 9053-1:2018,2018-12-12,Acoustics - Determination of airflow resistance - Part 1: Static airflow method (ISO 9053-1:2018)
EwaGlos,2015-01-01,EwaGlos – European Illustrated Glossary of Conservation Terms for Wall Paintings and Architectural Surfaces
FHWA-NHI-23-024,2023-03-01,Bridge Inspector’s Reference Manual (BIRM) (2022 NBIS)
IEC 60050-351,2014-09-01,International electrotechnical vocabulary - Part 351: Control technology
IEC 61987-1,2006-12-01,Industrial-process measurement and control – Data structures and elements in process equipment catalogues – Part 1: Measuring equipment with analogue and digital output
IEC CDD,1980-01-01,IEC Common Data Dictionary
ICOMOS-ISCS-Glossary,2008-09-01,Illustrated Glossary on Stone Deterioration Patterns
ISO 12572,1900-01-01,hygrothermal performance of building materials and products - determination of water vapour transmission properties
ISO 13372,2012-09-15,Condition monitoring and diagnostics of machines Vocabulary
ISO 140-3,1900-01-01,acoustics - measurement of sound insulation in buildings and of building elements - part 3: laboratory measurements of airborne sound insulation of building elements
ISO 14001,1900-01-01,environmental management systems - requirements with guidance for use
ISO 14021:2016,2016-03-01,Environmental labels and declarations - Self-declared environmental claims (Type II environmental labelling)
ISO 14046:2014,1900-01-01,"Environmental management - Water footprint - Principles, requirements and guidelines"
ISO 15686-8:2008,1900-01-01,Buildings and constructed assets - Service life planning - Part 8: Reference service life and service life estimation
ISO 18001,1900-01-01,occupational health and safety management system requirements
ISO 21930:2017,1900-01-01,Sustainability in buildings and civil engineering works Core rules for environmental product declarations of construction products and services
ISO 2710-1,2017-11-01,Reciprocating internal combustion engines - Vocabulary - Part 1: Terms for engine design and operation
ISO 3340,1900-01-01,fibre building board - determination of sand content
ISO 3529-2,2020-02-01,Vacuum technology — Vocabulary — Part 2: Vacuum pumps and related terms
ISO 50001,1900-01-01,energy management systems - requirements with guidance for use
ISO 6708,1995-01-01,Pipework Components - Definition and Selection of DN (Nominal Size)
ISO 7967-6,2005-05-15,Reciprocating internal combustion engines Vocabulary of components and systems Part 6: Lubricating systems
ISO/TR 25417,2007-12-01,Acoustics — Definitions of basic quantities and terms
LRFDBDS-9,2020-01-01,AASHTO LRFD Bridge Design Specification, 9th Edition
LVL,1900-01-01,LVL Handbook
Musterbauordnung (MBO),21-9-2012,Model Building Code (MBO)
MVV TB Anhang 6,1-6-2016,Model Administrative Regulation Technical Building Regulations (MVV TB) - Annex 6
NCS,1900-01-01,NCS atlas
OI3,1900-01-01,Index of the thermal building envelope
OPC 10000-100 - Part 100,2022-01-15,OPC Unified Architecture - part 100: Devices
OPC 40001-1,1980-01-01,OPC Unified Architecture for Machinery - part 1: Basic building blocks
prEN 13300:2021-04,26-2-2021,Paints and varnishes - Paints and varnishes for interior walls and ceilings - Classification
prEN IEC 60904-1:2019-10,20-9-2019,Photovoltaic devices - Part 1: Measurement of photovoltaic current-voltage characteristics (IEC 82/1556/CD:2019)
RAL,1900-01-01,colour standard
swiss eco-factors 2013,1900-01-01,swiss eco-factors 2013
UNI 11182:2006,2006-04-13,Beni culturali - Materiali lapidei naturali ed artificiali - Descrizione della forma di alterazione - Termini e definizioni
UNI 9795:2021,2021-12-02,"Sistemi fissi automatici di rivelazione e di segnalazione allarme d'incendio - Progettazione, installazione ed esercizio"
VDI 3805-4,2021-02-01,Product data exchange in the building services - Pumps (centrifugal pumps)
VDMA 24223-1,2013-12-01,Device profile for liquid and vacuum pumps - part 1: device information model - universal profile elements - generic pump
VDMA 24223,2021-03-11,Device profile for pumps and vacuum pumps in second edition
VDMA 24224,2013-05-12,Wet runner circulating pumps - specification of PWM control signals
VKF Prüfbestimmungen,1-3-2018,ACFI Test Specifications (CH)
VW PV 3.10.7:1992-01,1-1-1992,Prüfung auf Stoffe die die Lackbenetzungsfähigkeit beeinträchtigen
WGSRPD,1900-01-01,world geographical scheme for recording plant distributions
ASTM D 610 – 08,1900-01-01,Standard Practice for Evaluating Degree of Rusting on Painted Steel Surfaces
NORMAL 1/88,1900-01-01,Standard related to the characterization and classification of alterations in stone materials
