Reference,Date,Title
EN 13501-2:2016-06,1-6-2016,Fire classification of construction products and building elements - Part 2: Classification using data from fire resistance tests, excluding ventilation services
EN 13524:2003+A2:2014,2014-02-19,Highway maintenance machines - Safety requirements
EN 13531:2001+A1:2008,2008-10-01,Earth-moving machinery - Tip-over protection structure (TOPS) for compact excavators - Laboratory tests and performance requirements (ISO 12117:1997 modified)
EN 13541:2012,2012-02-29,Glass in building - Security glazing - Testing and classification of resistance against explosion pressure
EN 13556,1900-01-01,round and sawn timber - nomenclature of timbers used in Europe
EN 13639:2017,2017-09-27,Determination of total organic carbon in limestone
EN 13813:2002,2002-10-16,Screed material and floor screeds - Screed material - Properties and requirements
EN 13830:2020-11,1-11-2020,Curtain walling - Product standard
EN 13862:2001+A1:2009,2009-03-25,Floor cutting-off machines - Safety
EN 13892-1:2002,2002-11-20,"Methods of test for screed materials - Part 1: Sampling, making and curing specimens for test"
EN 13892-2:2002,2002-11-20,Methods of test for screed materials - Part 2: Determination of flexural and compressive strength
EN 13892-3:2014,2014-12-17,Methods of test for screed materials - Part 3: Determination of wear resistance - Böhme
EN 13892-4:2002,2002-11-20,Methods of test for screed materials - Part 4: Determination of wear resistance-BCA
EN 13892-5:2003,2003-06-04,Methods of test for screed materials - Part 5: Determination of wear resistance to rolling wheel of screed material for wearing layer
EN 13892-6:2002,2002-11-20,Methods of test for screed materials - Part 6: Determination of surface hardness
EN 13892-7:2003,2003-06-04,Methods of test for screed materials - Part 7: Determination of wear resistance to rolling wheel of screed material with floor coverings
EN 13892-8:2002,2002-11-20,Methods of test for screed materials - Part 8: Determination of bond strength
EN 13892-9:2018,2018-10-10,Methods of test for screed materials - Part 9: Dimensional stability
EN 1396:2015-06,1-6-2015,Aluminium and aluminium alloys - Coil coated sheet and strip for general applications - Specifications
EN 13986,1900-01-01,"wood-based panels for use in construction - characteristics, evaluation of conformity and marking"
EN 14016-1:2004,2004-01-14,"Binders for magnesite screeds - Caustic magnesia and magnesium chloride - Part 1: Definitions, requirements"
EN 14016-2:2004,2004-01-14,Binders for magnesite screeds - Caustic magnesia and magnesium chloride - Part 2: Test methods
EN 14080,1900-01-01,timber structures glued laminated timber and glued solid timber requirements
EN 14081-1:2019-10,1-10-2019,Timber structures - Strength graded structural timber with rectangular cross section - Part 1: General requirements
EN 14178-1:2004,2004-10-13,Glass in building - Basic alkaline earth silicate glass products - Part 1: Float glass
EN 14178-2:2004,2004-10-13,Glass in building - Basic alkaline earth silicate glass products - Part 2: Evaluation of conformity/Product standard
EN 14179-1:2016,2016-07-27,Glass in building - Heat soaked thermally toughened soda lime silicate safety glass - Part 1: Definition and description
EN 14179-2:2005,2005-05-18,Glass in building - Heat soaked thermally toughened soda lime silicate safety glass - Part 2: Evaluation of conformity/Product standard
EN 14216:2015,2015-07-15,"Cement - Composition, specifications and conformity criteria for very low heat special cements"
EN 14321-1:2005,2005-06-22,Glass in building - Thermally toughened alkaline earth silicate safety glass - Part 1: Definition and description
EN 14321-2:2005,2005-08-10,Glass in building - Thermally toughened alkaline earth silicate safety glass - Part 2: Evaluation of conformity/Product standard
EN 14322,1900-01-01,"wood-based panels - melamine faced boards for interior uses - definition, requirements and classification"
EN 14342,1900-01-01,"wood flooring characteristics, evaluation of conformity and marking"
EN 14351-1:2016-12,1-12-2016,Windows and doors - Product standard, performance characteristics - Part 1: Windows and external pedestrian doorsets
